Address,Count
83 REDPATH AVE,343
16 BLOORVIEW PL,342
BALLIOL ST,342
1155 KING ST WEST,342
365 LIPPINCOTT STREET,341
30 EDITH DR,340
21 HILLCREST AVE,340
MICHAEL SWEET AVE,339
38 DAN LECKIE WAY,339
49 THORNCLIFFE PARK DR,338
36 LOMBARD ST,338
95 HIGH PARK AVE,337
HERRICK ST,337
10 HUMBERLINE DR,337
121 ST JOSEPH ST,337
44 DUNFIELD AVE,337
235 SHERWAY GARDENS RD,336
RICHMOND ST W,336
39 ANNIE CRAIG DR,336
BLOOR ST W,334
17 ISABELLA ST,334
40 HELENDALE AVE,334
1155 KING ST W,334
20 COLLIER ST,334
50 COSBURN AVE,333
20 STEWART ST,333
25 MARTHA EATON WAY,333
88 CORPORATE DR,332
675 MANNING AVE,332
33 GABIAN WAY,331
52 MCMURRICH ST,331
180 PEARL ST,330
27 CARLTON ST,330
125 BOND ST,329
1030 KING ST W,329
812 LANSDOWNE AVENUE,329
500 TRETHEWEY DRIVE,329
1 SHORTT ST,328
1501 YONGE STREET,328
14 SHEPPARD ST,327
155 REDPATH AVE,327
1171 QUEEN ST W,326
33 CUMBERLAND ST,325
72 AMROTH AVENUE,325
14 ARUNDEL AVE,325
75 THE DONWAY WEST,324
111 BOND ST,323
20 BLUE JAYS WAY,323
ELMHURST AVE,323
2101 ISLINGTON AVE,322
WALTON ST,322
8 TELEGRAM MEWS,322
38 THE ESPLANADE,321
5005 DUNDAS ST W,321
149 COLLEGE ST,320
1 FRONT ST W,320
36 BRENTWOOD RD N,319
33 ISABELLA ST,319
348 DANFORTH AVE,319
40 PANORAMA CT,318
22 FRONT ST W,318
21 WIDMER ST,318
308 ADELAIDE ST W,318
5 BELLEVUE CRES,317
61 HEINTZMAN ST,317
10 DELISLE AVE,317
20 LOMOND DR,317
125 QUEENS WHARF RD,317
1 STADIUM RD,317
BAY ST,316
33 HILLSDALE AVE W,316
63 POLSON ST,316
59 ISABELLA ST,316
251 MACPHERSON AVE,316
110 YORKVILLE AVE,316
154 PEARL ST,316
3434 WESTON RD,315
MC CAUL ST,315
2 SURREY PL,315
246 BROOKE AVE,315
COLLEGE ST,315
145 FRONT ST E,314
59 CLINTON ST,313
290 QUEEN ST W,313
80 BOND ST,313
100 LOMBARD ST,312
9 FOUR WINDS DR,312
DUNDAS ST E,312
4 K SPADINA AVE,312
MARINE PARADE DR,312
1501 WOODBINE AVE,312
230 SACKVILLE ST,312
100 PRINCES' BLVD,312
1836 BLOOR ST W,311
111 SUNNYSIDE AVE,311
555 WILSON AVE,311
33 SINGER CRT,311
21 VAUGHAN RD,311
BRANT ST,311
WOOD ST,310
GOLDWIN AVE,310
1 LEONARD AVE,310
730 DOVERCOURT RD,310
275 BLEECKER ST,310
46 PANORAMA COURT,310
70 YORKVILLE AVE,309
955 QUEEN ST W,308
1000 FINCH AVE W,308
400 UNIVERSITY AVE,308
154 OSSINGTON AVE,307
3101 WESTON RD,307
1 JACKSON AVE,307
46 TULLIS DR,307
99 JOHN ST,306
35 BASTION ST,306
130 DUNN AVE,306
37 HAZELTON AVE,306
240 QUEEN ST W,306
5 BROOKBANKS DR,305
22 JOHN ST,305
45 BALLIOL ST,305
363 ADELAIDE ST. WEST,304
255 RANEE AVE,304
85 LEE AVE,303
590 KING ST W,303
120 HARRISON GARDEN BLVD,303
15 DEVONSHIRE PLACE,302
KING ST W,302
150 EGLINTON AVE E,302
SPADINA AVE,302
373 FRONT ST W,302
PACIFIC AVE,301
1 BRIMLEY RD,301
88 MUTUAL ST,301
255 KENNEDY AVE,301
484 FRONT ST E,300
2425 JANE STREET,299
415 DRIFTWOOD AVE,299
635 QUEEN ST W,299
205 MCCAUL STREET,299
QUEENS QUAY E,299
11 WINDSOR ST,299
19 FOUR WINDS DR,299
30 BASEBALL PL,299
145 ST LUKE LANE,298
177 MUTUAL ST,298
45 LISGAR ST,297
PIPER ST,297
75 TANDRIDGE CRES,297
11 FINCH AVE. W.,297
2 BEDFORD RD,296
11 ST JOSEPH ST,296
666 ONTARIO ST,296
306 FRONT ST W,296
ALFRED AVE,296
1033 QUEEN ST W,296
74 CLINTON ST,296
198 WALNUT AVE,295
33 PEARS AVE,295
PATON RD,294
5001 YONGE ST,294
5418 YONGE ST,294
25 MUTUAL ST,294
2 PORTLAND ST,294
31 FOUR WINDS DR,293
52 FREDERICK ST,293
5075 YONGE ST,293
7 HAYDEN ST,292
993 QUEEN ST W,292
15 WINDERMERE AVE,292
56 TEMPERANCE ST,292
80 PARK LAWN RD,292
77 GRENVILLE ST,292
